System, ManagementID, Current OS, LastUpdate, Status, Blueprint Failed IDs, Failed IDs (Reason), Blueprint Invalid IDs, Failed Reason, Software Update Failures
MBP-RRQM27N3G3, 00ef2166-97b3-4653-8307-51d4576e8040, macOS 15.7.2, 2026-01-19T14:05:17.869, success, , , , , count:4 reason:Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background)" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background); NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.} timestamp:2026-01-19T09:05:10-05:00
MBP-GTJXD6C9H9, 3b1050cb-e5d5-423e-ab07-9fd9bfba5422, macOS 15.7.2, 2025-11-14T14:50:23.831, success, , , , , count:0 reason:Error Domain=SUMacControllerError Code=7749 "[SUMacControllerErrorCommitStashInvalidState=7749] Access control was denied; but no prepare is available for committing the stash (prepared update for another client): [SUMacControllerError:7507]" UserInfo={NSLocalizedDescription=Unable to save user credentials for software update at this time.; SUMacControllerErrorIndicationsMask=0; NSDebugDescription=[SUMacControllerErrorCommitStashInvalidState=7749] Access control was denied; but no prepare is available for committing the stash (prepared update for another client): [SUMacControllerError:7507]; NSUnderlyingError=0x8d0ab4480 {Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background)" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background); NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.}}} timestamp:2025-11-13T08:59:49-06:00
MBP-PTG094D7R0, e9904ce4-20ff-4171-99c4-7ba07c5858f8, macOS 15.6, 2025-08-20T01:55:38.552, success, , , , , count:1 reason:Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied; NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.} timestamp:2025-08-04T08:00:24-07:00
MBP-T540JR7M7F, c9968055-141c-4b6c-a5b0-d0d0fbd19ef1, macOS 15.7.2, 2026-01-28T13:52:00.977, success, , , , , count:1 reason:Error Domain=SUMacControllerError Code=7706 "[SUMacControllerErrorDownloadSFRFailed=7706] Failed to perform SFR update download operation: [SUCoreError(MobileAsset):kSUCoreErrorAssetDownloadFailed(8700)_1_com.apple.MobileAssetError.Download(MobileAssetDownload):MADownloadTimedOutResource(53)|NetworkRequired|]" UserInfo={SUMacControllerErrorIndicationsSummary=|NetworkRequired|; SUMacControllerErrorLocalizedTitle=Unable to download software update; NSDebugDescription=[SUMacControllerErrorDownloadSFRFailed=7706] Failed to perform SFR update download operation: [SUCoreError(MobileAsset):kSUCoreErrorAssetDownloadFailed(8700)_1_com.apple.MobileAssetError.Download(MobileAssetDownload):MADownloadTimedOutResource(53)|NetworkRequired|]; NSLocalizedDescription=macOS system content could not be downloaded. Make sure you’re connected to the internet and try again; or contact Apple support for assistance.; SUMacControllerErrorIndicationsMask=1; NSUnderlyingError=0x72e62f000 {Error Domain=SUCoreError Code=8700 "[kSUCoreErrorAssetDownloadFailed] failed to download asset" UserInfo={NSLocalizedDescription=[kSUCoreErrorAssetDownloadFailed] failed to download asset; NSUnderlyingError=0x72e62c7e0 {Error Domain=com.apple.MobileAssetError.Download Code=53 "Download failed due to not being scheduled or the download of the whole resource was not able to complete in the time allowed. (Asset download for com.apple.MobileAsset.SFRSoftwareUpdate ace53fabc66caffc4c774e16d44b9e8f8cc04d3c)" UserInfo={NSLocalizedDescription=Download failed due to not being scheduled or the download of the whole resource was not able to complete in the time allowed. (Asset download for com.apple.MobileAsset.SFRSoftwareUpdate ace53fabc66caffc4c774e16d44b9e8f8cc04d3c); checkTimeoutConditions=true}}}}; SUMacControllerErrorIndicationsDescription=-> Network access is required.} timestamp:2026-01-23T10:23:09-05:00
MBP-H4HWC2NQWL, 82cef9cc-3202-4a56-99b7-5697164bf45f, macOS 15.7.3, 2025-11-06T16:53:17.515, success, , , , , count:0 reason:Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied; NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.} timestamp:2025-10-16T20:13:03-05:00
MBP-FPY9WYX6KL, 63c5fcc5-57e0-4cd8-ba5d-3bd3b95565a2, macOS 15.7.3, 2025-10-06T02:00:42.512, success, , , , , count:0 reason:Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied; NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.} timestamp:2025-09-21T18:04:36-07:00
MBP-WT199VFV22, f206233a-621c-4a49-8c36-28aff95828d8, macOS 15.6, 2025-08-05T14:20:46.482, success, , , , , count:0 reason:Error Domain=SUMacControllerError Code=7748 "[SUMacControllerErrorCommitStashFailed=7748] Failed to commit stash: [MobileSoftwareUpdateErrorDomain(MSU):MSU_ERR_BOOTPOLICY_FAILURE(43)_1_MobileSoftwareUpdateErrorDomain(MSU):MSU_ERR_BOOTPOLICY_FAILURE(43)_2_com.apple.bootpolicy:7]" UserInfo={NSLocalizedDescription=Failed to save user credentials for software update.; SUMacControllerErrorIndicationsMask=0; NSDebugDescription=[SUMacControllerErrorCommitStashFailed=7748] Failed to commit stash: [MobileSoftwareUpdateErrorDomain(MSU):MSU_ERR_BOOTPOLICY_FAILURE(43)_1_MobileSoftwareUpdateErrorDomain(MSU):MSU_ERR_BOOTPOLICY_FAILURE(43)_2_com.apple.bootpolicy:7]; NSUnderlyingError=0x90a55e550 {Error Domain=MobileSoftwareUpdateErrorDomain Code=43 "Failed to create local BootPolicy for SFR" UserInfo={NSUnderlyingError=0x90a55d260 {Error Domain=MobileSoftwareUpdateErrorDomain Code=43 "Failed to create paired recoveryOS local boot policy: ACM (7) (7)" UserInfo={NSUnderlyingError=0x90a55ee20 {Error Domain=com.apple.bootpolicy Code=7 "(null)"}; NSLocalizedDescription=Failed to create paired recoveryOS local boot policy: ACM (7) (7); target_update=24G84}}; NSLocalizedDescription=Failed to create local BootPolicy for SFR; target_update=24G84}}} timestamp:2025-08-05T07:20:39-07:00
MBP-W4MY73L4XQ, 5c22915e-d32f-4d1d-93d0-2000242752bb, macOS 15.7.2, 2026-01-28T18:03:21.647, success, , , , , count:2 reason:Error Domain=SUMacControllerError Code=7700 "[SUMacControllerErrorDownloadFailed=7700] Failed to perform Download operation: [SUCoreError(MobileAsset):kSUCoreErrorAssetDownloadFailed(8700)_1_com.apple.MobileAssetError.Download(MobileAssetDownload):MADownloadNetworkingError(47)]" UserInfo={NSUnderlyingError=0x5aeab2220 {Error Domain=SUCoreError Code=8700 "[kSUCoreErrorAssetDownloadFailed] failed to download asset" UserInfo={NSLocalizedDescription=[kSUCoreErrorAssetDownloadFailed] failed to download asset; NSUnderlyingError=0x5aeab2dc0 {Error Domain=com.apple.MobileAssetError.Download Code=47 "Download failed due to a general networking error. (Asset download for com.apple.MobileAsset.MacSoftwareUpdate bf009696fc574e9206a1de140437a1ce030ed139)" UserInfo={tryAgainLater=true; NSLocalizedDescription=Download failed due to a general networking error. (Asset download for com.apple.MobileAsset.MacSoftwareUpdate bf009696fc574e9206a1de140437a1ce030ed139)}}}}; SUMacControllerErrorIndicationsMask=0; SUMacControllerErrorLocalizedTitle=Unable to download software update; NSDebugDescription=[SUMacControllerErrorDownloadFailed=7700] Failed to perform Download operation: [SUCoreError(MobileAsset):kSUCoreErrorAssetDownloadFailed(8700)_1_com.apple.MobileAssetError.Download(MobileAssetDownload):MADownloadNetworkingError(47)]; NSLocalizedDescription=macOS could not be downloaded. Make sure you’re connected to the internet and try again; or contact Apple support for assistance.} timestamp:2026-01-27T09:51:51-06:00
MBP-V4DK4CFWFJ, 746cbc7d-d2d2-458d-9f59-1303f837ae5a, macOS 15.7.3, 2026-01-22T08:28:44.957, success, , , , , count:0 reason:Error Domain=SUMacControllerError Code=7706 "[SUMacControllerErrorDownloadSFRFailed=7706] Failed to perform SFR update download operation: [SUCoreError(MobileAsset):kSUCoreErrorAssetDownloadFailed(8700)_1_com.apple.MobileAssetError.Download(MobileAssetDownload):MADownloadNetworkingError(47)]" UserInfo={NSUnderlyingError=0xac69e0ff0 {Error Domain=SUCoreError Code=8700 "[kSUCoreErrorAssetDownloadFailed] failed to download asset" UserInfo={NSLocalizedDescription=[kSUCoreErrorAssetDownloadFailed] failed to download asset; NSUnderlyingError=0xac69e15f0 {Error Domain=com.apple.MobileAssetError.Download Code=47 "Download failed due to a general networking error. (Asset download for com.apple.MobileAsset.SFRSoftwareUpdate ace53fabc66caffc4c774e16d44b9e8f8cc04d3c)" UserInfo={tryAgainLater=true; NSLocalizedDescription=Download failed due to a general networking error. (Asset download for com.apple.MobileAsset.SFRSoftwareUpdate ace53fabc66caffc4c774e16d44b9e8f8cc04d3c)}}}}; SUMacControllerErrorIndicationsMask=0; SUMacControllerErrorLocalizedTitle=Unable to download software update; NSDebugDescription=[SUMacControllerErrorDownloadSFRFailed=7706] Failed to perform SFR update download operation: [SUCoreError(MobileAsset):kSUCoreErrorAssetDownloadFailed(8700)_1_com.apple.MobileAssetError.Download(MobileAssetDownload):MADownloadNetworkingError(47)]; NSLocalizedDescription=macOS system content could not be downloaded. Make sure you’re connected to the internet and try again; or contact Apple Support for assistance.} timestamp:2026-01-22T09:28:38+01:00
MBP-H4XYF7WJ76, f493f04b-14e8-4ae2-876e-d5edda8bfb22, macOS 15.7.2, 2025-10-08T13:55:56.759, success, , , , , count:0 reason:Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied; NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.} timestamp:2025-10-06T23:37:16-04:00
