System, ManagementID, Current OS, LastUpdate, Status, Blueprint Failed IDs, Failed IDs (Reason), Blueprint Invalid IDs, Failed Reason, Software Update Failures
MAC-KCJGJT4W22, 2da133d3-90f1-4d44-8556-0f93de381cc8, macOS 26.3, 2026-01-24T11:27:35.232, error, , , 7c7f3ac3-300d-4057-89f6-fdf4835d4379, , count:0 reason:Error Domain=SUOSUErrorDomain Code=0 "(null)" timestamp:2026-01-24T06:27:29-05:00
MAC-DYY3CW5QGF, a878e0ed-1f71-42fa-aaba-98ce19fa39ce, macOS 15.7.2, 2025-12-11T14:03:04.075, success, , , , , count:3 reason:Error Domain=SUMacControllerError Code=7705 "[SUMacControllerErrorDownloadUpdateBrainFailed=7705] Failed to perform update brain download operation: [SUCoreError(MobileAsset):kSUCoreErrorAssetDownloadFailed(8700)_1_com.apple.MobileAssetError.Download(MobileAssetDownload):MADownloadTimedOutResource(53)|NetworkRequired|]" UserInfo={SUMacControllerErrorIndicationsSummary=|NetworkRequired|; SUMacControllerErrorLocalizedTitle=Unable to download software update; NSDebugDescription=[SUMacControllerErrorDownloadUpdateBrainFailed=7705] Failed to perform update brain download operation: [SUCoreError(MobileAsset):kSUCoreErrorAssetDownloadFailed(8700)_1_com.apple.MobileAssetError.Download(MobileAssetDownload):MADownloadTimedOutResource(53)|NetworkRequired|]; NSLocalizedDescription=macOS installer could not be downloaded. Make sure you’re connected to the internet and try again; or contact Apple support for assistance.; SUMacControllerErrorIndicationsMask=1; NSUnderlyingError=0x7e289a9d0 {Error Domain=SUCoreError Code=8700 "[kSUCoreErrorAssetDownloadFailed] failed to download asset" UserInfo={NSLocalizedDescription=[kSUCoreErrorAssetDownloadFailed] failed to download asset; NSUnderlyingError=0x7e2899b00 {Error Domain=com.apple.MobileAssetError.Download Code=53 "Download failed due to not being scheduled or the download of the whole resource was not able to complete in the time allowed. (Asset download for com.apple.MobileAsset.MobileSoftwareUpdate.MacUpdateBrain 09c8686bdb8ca23a0eb6ac678ae01a5b60159da3)" UserInfo={NSLocalizedDescription=Download failed due to not being scheduled or the download of the whole resource was not able to complete in the time allowed. (Asset download for com.apple.MobileAsset.MobileSoftwareUpdate.MacUpdateBrain 09c8686bdb8ca23a0eb6ac678ae01a5b60159da3); checkTimeoutConditions=true}}}}; SUMacControllerErrorIndicationsDescription=-> Network access is required.} timestamp:2025-12-11T08:18:23-05:00
MAC-G91TV4VX07, 2296577d-a02c-4655-9b19-5b27e1cd51a6, macOS 26.2, 2026-01-20T14:51:20.167, success, , , , , count:1 reason:Error Domain=NSCocoaErrorDomain Code=4099 "The connection to service named com.apple.sumaccontroller was invalidated from this process." UserInfo={NSDebugDescription=The connection to service named com.apple.sumaccontroller was invalidated from this process.} timestamp:2026-01-16T14:53:19-05:00
